"review","severity","file","location","issue","decision","change","verification_command"
"mathematical","Major","docs/derivations/04_spectral_numerics.tex","nested-order and phase-control sections","Inter-discretization differences were described as continuum phase-error bounds.","accepted","Renamed them accumulated inter-resolution phase-discrepancy estimators throughout the manuscript, derivations, captions, and source documentation; explicitly state that they are not continuum enclosures.","uv run pytest -q tests/test_results_prose.py tests/test_discussion_prose.py tests/test_manuscript_evidence.py"
"mathematical","Major","paper/sections/03_morse_unfolding.tex","finite-epsilon point-count paragraphs","The qualitative sufficiently-small theorem did not certify exact cardinality at the registered finite epsilon.","accepted","Reserved exact four-plus-four cardinality for the theorem and described the computed finite-epsilon set as eight resolved, refinement-stable roots; added the opposite-index-pair limitation to the claim matrix and prose.","uv run python scripts/check_claim_evidence.py --require-supported"
"mathematical","Major","src/zgv_morse/workflows/green.py","response-domain control and stationary search","The fixed-Morse search covered only 0.15 k0 while direct response support extended to 0.225 k0.","accepted","Expanded the response-row search to 1.55 sigma = 0.2325 k0, strictly beyond the 1.5 sigma support; increased the radial candidate grid to 15 nodes, included every located point in the Morse sum, and recorded domain controls in the sidecar.","uv run pytest -q tests/test_green_response.py tests/test_reference_workflow.py"
"mathematical","Minor","src/zgv_morse/green_response.py","compact_radial_taper and integrate_branch_response","The numerical hard truncation did not satisfy the C-infinity cutoff assumed for the O(t^-2) remainder.","accepted","Implemented a deterministic C-infinity taper equal to one through 1.25 sigma and flat zero at 1.5 sigma; direct and Morse amplitudes use the identical taper and the paper now states the implemented window.","uv run pytest -q tests/test_green_response.py"
"numerical","Major","docs/manuscript/claim_evidence_matrix.csv","claim C4","Finite-grid winding and seed refinement cannot prove exhaustive continuum enumeration.","accepted","Recalibrated C4 to the resolved refinement-stable set and retained the exact count only in theorem claim C3; boundary/index evidence is called a consistency check.","uv run python scripts/check_claim_evidence.py --require-supported"
"numerical","Major","src/zgv_morse/green_response.py","phase-discrepancy gates","Two-order differences were called rigorous uncertainty certificates.","accepted","Kept the conservative numerical acceptance threshold but renamed the quantity and its documentation as an empirical nested-order/inter-grid discrepancy estimator.","uv run pytest -q tests/test_green_response.py tests/test_results_prose.py"
"numerical","Major",".github/workflows/repro-full.yml","full job TeX steps","Mutable Ubuntu apt TeX could not satisfy the exact TeX Live 2026 byte-reproduction gate.","accepted","Scoped byte identity to the documented reference environment and added a separate strict semantic compiler for nonreference CI; CI records its actual TeX versions and no unverified container digest was invented.","uv run pytest -q tests/test_ci_contract.py tests/test_semantic_compile.py"
"numerical","Major","README.md","reproduction instructions","The public reproduction entry point was stale and did not disclose smoke-profile mutation.","accepted","Documented frozen sync, full and smoke workflows, export and compilation commands, prerequisites, outputs, reference environment, byte-versus-semantic scope, and canonical-output overwrite risk.","uv run pytest -q tests/test_readme_contract.py"
"numerical","Minor","src/zgv_morse/workflows/critical_points.py","critical-point artifact schema","Per-point anisotropic MAC and principal-overlap minima are not persisted in the artifact.","deferred with reason","No manuscript claim uses an anisotropic per-node MAC threshold; eigengap and discrepancy gates plus the reviewer probe support the eight reported points. A schema-wide tracking diagnostic is deferred because it is a robustness extension rather than a correction to the bounded claim.","uv run pytest -q tests/test_mode_tracking.py tests/test_morse_splitting.py"
"numerical","Minor","src/zgv_morse/workflows/green.py","crossover-time bracket","The measured crossover scaling uses a theory-centred search bracket.","accepted","Relabelled the crossing as a theory-centred consistency diagnostic and made the complex Bessel collapse without fitted alignment the primary numerical test.","uv run pytest -q tests/test_results_prose.py tests/figures/test_figure06.py"
"numerical","Minor","scripts/reproduce_all.py","full scientific rerun count","The seven scientific stages had not yet been executed twice in independent clean roots.","deferred to Task 42","Task 42 explicitly adds verify_clean_reproduction.py, two isolated full runs, and scientific-output hash comparison; Task 41 does not claim this release-grade check is already complete.","test -f docs/superpowers/plans/2026-07-10-zgv-critical-ring-first-paper-implementation.md"
"numerical","Minor","src/zgv_morse/workflows/common.py","environment provenance","Sidecars omit normalized BLAS/LAPACK backend and uv build information.","deferred to Task 42","The release reproduction report will record numerical backend, uv version, architecture, and deterministic thread environment; current scientific claims rely on tolerance gates rather than cross-platform byte identity.","test -f docs/superpowers/plans/2026-07-10-zgv-critical-ring-first-paper-implementation.md"
"prr","Major","paper/main.tex; paper/supplement.tex; README.md","title","The original title foregrounded the already known ring-to-points mechanism instead of the new connection.","accepted","Retitled the paper to foreground the full-elastic coefficient- and phase-resolved bridge and its noncommuting temporal limits; synchronized the main paper, supplement, and README under a cross-file contract test.","uv run pytest -q tests/test_abstract_and_captions.py::test_title_foregrounds_the_coefficient_and_phase_resolved_bridge"
"prr","Major","src/zgv_morse/figures/figure06_crossover.py","panel titles and annotations","Figure 6 visually conflated an early joint-limit row and a late fixed-epsilon row as one observed trajectory.","accepted","Reframed the figure as two numerical asymptotic slices connected by a proved growing-|tau| overlap; panel c explicitly denies a single-trajectory interpretation.","uv run pytest -q tests/figures/test_figure06.py tests/test_abstract_and_captions.py"
