record_type,query_id,query_or_seed,engine,execution_date,time_precision,returned_scope,identifier,title,year,decision,evidence_route
query,Q1,"""zero group velocity"" Lamb wave anisotropic plate",web+Zotero Scholar,2026-07-11,date_only,"ranked records exposed by interface; stable total unavailable",,,,scope_registered,search_interface
query,Q2,"(""ZGV"" OR ""zero group velocity"") anisotropy critical point stationary phase",web+Zotero Scholar,2026-07-11,date_only,"ranked records exposed by interface; stable total unavailable",,,,scope_registered,search_interface
query,Q3,Morse-Bott stationary phase critical manifold wave decay,web+Zotero Scholar,2026-07-11,date_only,"ranked records exposed by interface; stable total unavailable",,,,scope_registered,search_interface
query,Q4,Lamb wave van Hove singularity anisotropic plate,web+Zotero Scholar,2026-07-11,date_only,"ranked records exposed by interface; stable total unavailable",,,,scope_registered,search_interface
query,Q5,Bessel crossover stationary ring weak anisotropy,web+Zotero Scholar,2026-07-11,date_only,"ranked records exposed by interface; stable total unavailable",,,,scope_registered,search_interface
query,Q6,"""zero group velocity"" cubic silicon plate",web+Zotero Scholar,2026-07-11,date_only,"ranked records exposed by interface; stable total unavailable",,,,scope_registered,search_interface
candidate,Q1,anisotropic ZGV,web+primary,2026-07-11,date_only,closest retained,10.1121/1.3167277,Influence of the anisotropy on zero-group velocity Lamb modes,2009,include_primary,publisher_full_text
candidate,Q1,anisotropic ZGV,web+primary,2026-07-11,date_only,closest retained,10.1121/1.4730891,Lamb modes with multiple zero-group velocity points in an orthotropic plate,2012,include_primary,publisher_record
candidate,Q1,anisotropic ZGV,web+primary,2026-07-11,date_only,closest retained,10.1139/cjp-2018-0348,Multiple zero group velocity Lamb modes in an anisotropic plate: propagation along different crystallographic axes,2019,include_primary,publisher_record
candidate,Q1,anisotropic ZGV,web+primary,2026-07-11,date_only,closest retained,10.1126/sciadv.adk6846,Beating resonance patterns and extreme power flux skewing in anisotropic elastic plates,2023,include_closest,PMC_full_text
candidate,Q2,stationary phase anisotropic Lamb,web+primary,2026-07-11,date_only,closest retained,10.1121/1.2390674,Modeling the excitation of guided waves in generally anisotropic multilayered media,2007,include_method_precedent,publisher_record
candidate,Q2,stationary phase anisotropic Lamb,web+primary,2026-07-11,date_only,closest retained,10.1121/1.3263607,Excitation and focusing of Lamb waves in a multilayered anisotropic plate,2010,include_method_precedent,publisher_record
candidate,Q2,stationary phase anisotropic Lamb,web+primary,2026-07-11,date_only,closest retained,10.1016/j.ultras.2012.06.012,A study of time harmonic guided Lamb waves and their caustics in composite plates,2013,include_method_precedent,publisher_full_text
candidate,Q2,stationary phase anisotropic Lamb,web+primary,2026-07-11,date_only,closest retained,10.1103/PhysRevResearch.7.L012043,Extreme wave skewing and dispersion spectra of anisotropic elastic plates,2025,include_closest,author_full_text
candidate,Q3,Morse-Bott,web+primary,2026-07-11,date_only,closest retained,10.2307/1969631,Nondegenerate Critical Manifolds,1954,include_foundation,publisher_record
candidate,Q3,Morse-Bott perturbation,web+primary,2026-07-11,date_only,closest retained,10.1017/S0143385708000928,The Morse-Bott inequalities via a dynamical systems approach,2009,include_math_precedent,arXiv_full_text
candidate,Q3,Morse-Bott perturbation,web+primary,2026-07-11,date_only,closest retained,10.2140/agt.2013.13.237,Cascades and perturbed Morse-Bott functions,2013,include_math_precedent,publisher_record
candidate,Q4,van Hove,web+primary,2026-07-11,date_only,closest retained,10.1103/PhysRev.89.1189,The Occurrence of Singularities in the Elastic Frequency Distribution of a Crystal,1953,include_background,publisher_record
candidate,Q4,ZGV decay,web+primary,2026-07-11,date_only,closest retained,10.1016/j.wavemoti.2007.11.005,Power law decay of zero group velocity Lamb modes,2008,include_endpoint,author_full_text
candidate,Q5,broken symmetry uniformization,web+primary,2026-07-11,date_only,closest retained,10.1006/aphy.1996.0051,Trace Formula for Broken Symmetry,1996,include_cross_domain_closest,publisher_full_text
candidate,Q5,broken symmetry Bessel,web+primary,2026-07-11,date_only,closest retained,10.1088/0305-4470/32/2/009,Uniform trace formulae for SU(2) and SO(3) symmetry breaking,1999,include_cross_domain_closest,arXiv_full_text
candidate,Q5,broken symmetry Bessel,web+primary,2026-07-11,date_only,closest retained,10.1088/1751-8113/42/35/355210,Closed orbits and spatial density oscillations in the circular billiard,2009,include_cross_domain_closest,arXiv_full_text
candidate,Q6,cubic silicon ZGV,web+primary,2026-07-11,date_only,closest retained,10.1121/1.3167277,Influence of the anisotropy on zero-group velocity Lamb modes,2009,include_primary,author_full_text
candidate,Q6,cubic silicon ZGV,web+primary,2026-07-11,date_only,closest retained,10.1126/sciadv.adk6846,Beating resonance patterns and extreme power flux skewing in anisotropic elastic plates,2023,include_closest,PMC_full_text
candidate,A1,critical-circle pattern selection,web+primary,2026-07-11,date_only,analogue retained,10.1103/RevModPhys.65.851,Pattern formation outside of equilibrium,1993,include_review_context,publisher_record
candidate,A1,critical-circle anisotropy,web+primary,2026-07-11,date_only,analogue retained,10.1016/S0167-2789(03)00238-0,Spatially periodic modulation of cortical patterns by long-range horizontal connections,2003,include_cross_domain_closest,publisher_full_text
citation_graph,CG2023,10.1126/sciadv.adk6846,OpenAlex,2026-07-12,date_time_from_API,"14 returned citing records; complete API page",10.1063/5.0183620,Acoustoelastic characterization of plates using zero group velocity Lamb modes,2024,screened_primary,publisher_full_text
citation_graph,CG2023,10.1126/sciadv.adk6846,OpenAlex,2026-07-12,date_time_from_API,"14 returned citing records; complete API page",10.1016/j.ultras.2024.107453,Simultaneous laser ultrasonic measurement of sound velocities and thickness of plates using combined mode local acoustic spectroscopy,2024,screened_not_closer,publisher_record
citation_graph,CG2023,10.1126/sciadv.adk6846,OpenAlex,2026-07-12,date_time_from_API,"14 returned citing records; complete API page",10.1016/j.ndteint.2025.103421,Combining laser-excited edge resonance and ZGV resonance for measuring wave velocities and global thickness distribution of isotropic homogeneous plates,2025,screened_not_closer,publisher_record
citation_graph,CG2023,10.1126/sciadv.adk6846,OpenAlex,2026-07-12,date_time_from_API,"14 returned citing records; complete API page",10.1063/5.0244382,Zero-group velocity combined-harmonic generation through counter-directional mixing and application for internal damage localization in composites,2025,screened_not_closer,publisher_record
citation_graph,CG2023,10.1126/sciadv.adk6846,OpenAlex,2026-07-12,date_time_from_API,"14 returned citing records; complete API page",10.1063/5.0250494,Electroelastic guided wave dispersion in piezoelectric plates: Spectral methods and laser-ultrasound experiments,2025,screened_method,publisher_full_text
citation_graph,CG2023,10.1126/sciadv.adk6846,OpenAlex,2026-07-12,date_time_from_API,"14 returned citing records; complete API page",10.1016/j.ultras.2025.107866,Interpreting material anisotropy through the fractional wave equation,2025,screened_not_closer,publisher_record
citation_graph,CG2023,10.1126/sciadv.adk6846,OpenAlex,2026-07-12,date_time_from_API,"14 returned citing records; complete API page",10.1038/s41467-026-70019-9,Revealing intrinsic 3D spin angular momentum of evanescent acoustic phonons on a single-crystal surface using ultrafast optoacoustics,2026,screened_not_closer,publisher_record
citation_graph,CG2023,10.1126/sciadv.adk6846,OpenAlex,2026-07-12,date_time_from_API,"14 returned citing records; complete API page",10.1103/PhysRevResearch.7.L012043,Extreme wave skewing and dispersion spectra of anisotropic elastic plates,2025,include_closest,author_full_text
citation_graph,CG2023,10.1126/sciadv.adk6846,OpenAlex,2026-07-12,date_time_from_API,"14 returned citing records; complete API page",10.1016/j.ultras.2025.107733,Adiabatic Lamb modes in 3D tapered waveguides: Cut-off effects and ZGV resonances,2025,screened_not_closer,publisher_record
citation_graph,CG2023,10.1126/sciadv.adk6846,OpenAlex,2026-07-12,date_time_from_API,"14 returned citing records; complete API page",10.1007/s00466-025-02656-8,A Sylvester equation approach for the computation of zero-group-velocity points in waveguides,2025,include_solver_precedent,arXiv_full_text
citation_graph,CG2023,10.1126/sciadv.adk6846,OpenAlex,2026-07-12,date_time_from_API,"14 returned citing records; complete API page",10.2139/ssrn.4839563,Simultaneous Laser Ultrasonic Measurement of Sound Velocities and Thickness of Plates Using Combined Mode Local Acoustic Spectroscopy,2024,exclude_duplicate_preprint,metadata
citation_graph,CG2023,10.1126/sciadv.adk6846,OpenAlex,2026-07-12,date_time_from_API,"14 returned citing records; complete API page",10.2139/ssrn.5179197,Adiabatic Lamb Modes Cut-Off Effects and ZGV Resonances in Three-Dimensional Slowly Varying Thickness Waveguides,2025,exclude_duplicate_preprint,metadata
citation_graph,CG2023,10.1126/sciadv.adk6846,OpenAlex,2026-07-12,date_time_from_API,"14 returned citing records; complete API page",10.2139/ssrn.6498113,High-Resolution Axial Scanning of Pipeline Corrosion via Local Resonance: A Non-Contact ZGV-EMAT Approach,2026,screened_not_closer,metadata
citation_graph,CG2023,10.1126/sciadv.adk6846,OpenAlex,2026-07-12,date_time_from_API,"14 returned citing records; complete API page",10.1002/advs.76472,Ultrafast Optoacoustics Reveals Intricate 3D Anisotropic Elasticity in Nanocrystalline Membranes,2026,screened_not_closer,publisher_record
citation_graph,CG2025,10.1103/PhysRevResearch.7.L012043,OpenAlex,2026-07-12,date_time_from_API,"4 returned citing records; complete API page",10.1016/j.ndteint.2025.103421,Combining laser-excited edge resonance and ZGV resonance for measuring wave velocities and global thickness distribution of isotropic homogeneous plates,2025,screened_not_closer,publisher_record
citation_graph,CG2025,10.1103/PhysRevResearch.7.L012043,OpenAlex,2026-07-12,date_time_from_API,"4 returned citing records; complete API page",10.1063/5.0250494,Electroelastic guided wave dispersion in piezoelectric plates: Spectral methods and laser-ultrasound experiments,2025,screened_method,publisher_full_text
citation_graph,CG2025,10.1103/PhysRevResearch.7.L012043,OpenAlex,2026-07-12,date_time_from_API,"4 returned citing records; complete API page",10.1080/10589759.2025.2610729,Zero group velocity Lamb waves for non-destructive testing of plate structures: a review of principles applications and prospects,2026,exclude_review_for_priority,publisher_record
citation_graph,CG2025,10.1103/PhysRevResearch.7.L012043,OpenAlex,2026-07-12,date_time_from_API,"4 returned citing records; complete API page",10.1007/s00466-025-02656-8,A Sylvester equation approach for the computation of zero-group-velocity points in waveguides,2025,include_solver_precedent,arXiv_full_text
