query_id,identifier,title,outcome,reason,closest_retained_or_duplicate
Q5,10.1038/s41467-019-10085-4,Imaging gigahertz zero-group-velocity Lamb waves,excluded_from_temporal_bridge,"uses spatial J0(k r) for a monochromatic radial field; not J0(epsilon V4 t) or a weak-anisotropy temporal uniformization",10.1016/j.wavemoti.2007.11.005
Q5,laser-beam-shaping-2016,Laser beam shaping for enhanced Zero-Group Velocity Lamb modes generation,excluded_from_temporal_bridge,"spatial source-ring optimization and spatial Bessel decay; not the joint epsilon-t limit",10.1016/j.wavemoti.2007.11.005
Q4,10.1016/j.optlastec.2023.109580,Determination of each layer thickness of thin bilayer using laser-based multiple zero-group velocity Lamb waves,excluded_application,"bilayer thickness inversion; no anisotropic critical-circle or temporal uniform asymptotic",10.1126/sciadv.adk6846
CG2023,10.2139/ssrn.4839563,Simultaneous Laser Ultrasonic Measurement of Sound Velocities and Thickness of Plates Using Combined Mode Local Acoustic Spectroscopy,excluded_duplicate_preprint,"duplicate/preprint record of the published Ultrasonics article",10.1016/j.ultras.2024.107453
CG2023,10.2139/ssrn.5179197,Adiabatic Lamb Modes Cut-Off Effects and ZGV Resonances in Three-Dimensional Slowly Varying Thickness Waveguides,excluded_duplicate_preprint,"duplicate/preprint record of the published Ultrasonics article",10.1016/j.ultras.2025.107733
CG2023,10.2139/ssrn.6498113,High-Resolution Axial Scanning of Pipeline Corrosion via Local Resonance: A Non-Contact ZGV-EMAT Approach,excluded_application,"inspection application; no Morse-Bott reduction or epsilon-t uniformization",10.1126/sciadv.adk6846
CG2023,10.1063/5.0244382,Zero-group velocity combined-harmonic generation through counter-directional mixing and application for internal damage localization in composites,excluded_application,"nonlinear damage-localization application; no critical-circle splitting theorem",10.1126/sciadv.adk6846
CG2023,10.1016/j.ndteint.2025.103421,Combining laser-excited edge resonance and ZGV resonance for measuring wave velocities and global thickness distribution of isotropic homogeneous plates,excluded_application,"isotropic measurement application; no anisotropic temporal bridge",10.1016/j.wavemoti.2007.11.005
CG2023,10.1016/j.ultras.2025.107866,Interpreting material anisotropy through the fractional wave equation,excluded_not_same_mechanism,"anisotropy model does not derive the audited Lamb-ZGV ring-to-eight-point temporal limit",10.1126/sciadv.adk6846
CG2023,10.1038/s41467-026-70019-9,Revealing intrinsic 3D spin angular momentum of evanescent acoustic phonons on a single-crystal surface using ultrafast optoacoustics,excluded_not_same_mechanism,"surface phonon spin application; no Lamb-ZGV critical-circle crossover",10.1126/sciadv.adk6846
CG2023,10.1002/advs.76472,Ultrafast Optoacoustics Reveals Intricate 3D Anisotropic Elasticity in Nanocrystalline Membranes,excluded_application,"anisotropic-elasticity imaging; no controlled Morse-Bott/Bessel time bridge",10.1126/sciadv.adk6846
CG2025,10.1080/10589759.2025.2610729,Zero group velocity Lamb waves for non-destructive testing of plate structures: a review of principles applications and prospects,excluded_as_priority_evidence,"secondary review retained for horizon checking but not used to establish technical priority",primary_sources_in_search_log
